Date,All,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia,Other
12/9/15,948,0,39,533,143,2,5,1,225,0
13/9/15,957,0,28,640,104,0,8,15,162,0
14/9/15,607,0,64,189,193,3,6,6,146,0
15/9/15,655,0,82,360,76,2,0,0,135,0
16/9/15,573,0,36,164,248,0,0,0,125,0
17/9/15,670,0,32,361,168,0,1,3,105,0
18/9/15,760,0,27,199,355,4,0,1,174,0
19/9/15,696,0,7,419,167,2,2,1,98,0
18/9/02,815,0,32,365,171,26,0,0,221,0
19/9/02,1065,0,56,313,552,30,0,0,114,0
18/12/14,548,0,5,51,312,0,0,2,178,0
10/9/02,650,0,59,174,317,1,0,1,98,0
11/9/02,919,0,58,407,219,3,1,5,226,0
12/9/02,819,0,41,173,301,8,0,7,289,0
13/9/02,283,0,30,122,47,12,0,2,70,0
14/9/02,509,0,58,124,216,48,0,1,62,0
15/9/02,1288,0,95,741,218,146,10,11,67,0
16/9/02,897,0,28,507,219,45,0,0,98,0
17/9/02,755,0,6,363,178,47,0,0,161,0
19/4/06,729,0,360,0,22,16,6,53,272,0
18/4/06,438,0,58,2,50,1,0,23,304,0
13/4/06,357,0,7,3,5,91,3,28,220,0
12/4/06,509,0,222,0,16,13,11,76,171,0
11/4/06,533,1,223,3,33,109,11,63,90,0
10/4/06,431,0,178,2,50,7,13,2,179,0
17/4/06,392,0,270,0,16,0,7,14,85,0
16/4/06,133,0,33,5,40,9,0,18,28,0
15/4/06,183,0,32,0,14,0,4,0,133,0
14/4/06,61,0,11,2,14,0,0,0,34,0
11/12/14,216,0,16,28,90,1,4,7,70,0
10/12/14,289,0,3,57,92,3,0,0,134,0
16/6/08,265,0,19,197,28,4,2,2,13,0
30/9/10,910,0,60,443,266,0,0,0,141,0
30/1/08,182,0,11,1,53,2,2,0,113,0
31/1/08,91,0,12,0,44,0,0,0,35,0
28/5/12,1279,0,14,701,86,2,1,0,475,0
29/5/12,686,0,15,27,10,4,0,7,623,0
22/5/12,1456,0,72,583,56,12,0,42,691,0
23/5/12,889,0,236,149,41,3,0,24,436,0
20/5/12,1015,0,52,249,36,9,0,6,663,0
21/5/12,810,0,107,242,34,10,0,27,390,0
26/5/12,1322,0,1,625,116,2,0,0,578,0
